[Thursday/February 19/02/2026 23:03:45] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/Mosaik Vertical/EXPORT/#13_Mosaik_Vertical_D12-M02-Y26_4K-60FPS-FLAC.mp4 | length=19.68 | time=16.25
[Thursday/February 19/02/2026 23:05:43] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/1. Wer ich bin/EXP/#1_Wer ich bin_Vertical_D16-M02-Y26_4K-60FPS-FLAC.mp4 | length=12.768 | time=11.216666666667
[Thursday/February 19/02/2026 23:07:13] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/1. Wer ich bin/EXP/#1_Wer ich bin_Vertical_D16-M02-Y26_4K-60FPS-FLAC.mp4 | length=12.768 | time=12.7
[Thursday/February 19/02/2026 23:07:19] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/1. Wer ich bin/EXP/#2_Wer ich bin_Vertical_D18-M02-Y26_4K-60FPS-FLAC.mp4 | length=12.768 | time=6.7333333333333
[Thursday/February 19/02/2026 23:18:35] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/2. Wart einfach ab/EXP/#1_Wart einfach ab_Vertical_D19-M02-Y26_4K-60FPS-FLAC.mp4 | length=11.136 | time=1.1333333333333
[Thursday/February 19/02/2026 23:21:26] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/2. Wart einfach ab/EXP/#2_Wart einfach ab_Vertical_D19-M02-Y26_4K-60FPS-FLAC.mp4 | length=11.808 | time=0.25
[Thursday/February 19/02/2026 23:24:05] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/2. Wart einfach ab/EXP/#3_Wart einfach ab_Vertical_D19-M02-Y26_4K-60FPS-FLAC.mp4 | length=11.136 | time=0.95
[Thursday/February 19/02/2026 23:27:08] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/2. Wart einfach ab/EXP/#4_Wart einfach ab_Vertical_D19-M02-Y26_4K-60FPS-FLAC.mp4 | length=11.232 | time=0.68333333333333
[Thursday/February 19/02/2026 23:33:10] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/2. Wart einfach ab/EXP/#6_Wart einfach ab_Vertical_D19-M02-Y26_4K-60FPS-FLAC.mp4 | length=11.136 | time=0.83333333333333
[Thursday/February 19/02/2026 23:35:42] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/2. Wart einfach ab/EXP/#5_Wart einfach ab_Vertical_D19-M02-Y26_4K-60FPS-FLAC.mp4 | length=11.232 | time=1.2833333333333
